Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Kansai,199211,5999,24014,7981,3,4700,1726,118,3519150,1136605,1463054,343998,152384,0,0,0
Chugoku,199211,2652,18028,3551,3,7900,2989,87,2461990,751737,1182261,346888,123567,,,
Shikoku,199211,4817,37763,4158,8,23150,7455,45,1039350,266967,630885,163268,57105,,,
Kyushu,199211,5473,38688,5177,13,23400,8182,87,2196200,610455,1215852,281235,97911,,,
Okinawa,199211,106,,173,2,3080,1442,2,31000,14842,18759,1682,1035,,,
Hokkaido,199210,4246,23018,2375,2,48000,7486,17,832100,161937,303903,83730,26033,311,20,11
Tohoku,199210,1679,11181,1600,8,16330,7509,97,2112350,608833,807923,223753,75508,663,59,0
Tokyo,199210,12680,86110,7824,5,7300,2021,126,4458100,1441152,2167190,522849,179880,,,
Chubu,199210,9359,67541,5293,2,4900,1422,54,2057650,746061,2535221,578625,182569,,,
Hokuriku,199210,879,6290,861,1,2000,1180,31,833300,270875,371955,91642,32354,887,28,0
Kansai,199210,5650,22640,6546,3,4700,1773,118,3519150,1181649,1464898,344513,114125,0,0,0
Chugoku,199210,2304,15708,2675,3,7900,3163,87,2461490,480483,1184561,347631,98993,,,
Shikoku,199210,4740,37067,3828,8,23150,7364,45,1039750,268217,630347,163188,48365,,,
Kyushu,199210,5017,34498,4391,13,23400,8286,87,2196200,617450,1213283,280702,77917,,,
Okinawa,199210,89,,144,2,3080,1343,2,31000,15564,18367,1640,606,,,
Hokkaido,199209,3945,21639,1972,2,48000,8385,17,832100,188185,304507,83996,24313,544,16,12
Tohoku,199209,1548,10195,1268,8,16330,7590,98,2114350,548575,804480,223442,58059,,,
Tokyo,199209,12146,83154,7606,5,7300,2084,126,4454100,1316293,2168942,523297,143812,,,
Chubu,199209,9128,65864,4909,2,4900,1496,54,2066650,724043,2536451,579115,152732,,,
Hokuriku,199209,792,5766,752,1,2000,1124,31,831300,252878,371265,91677,25841,,,
Kansai,199209,5390,21732,7177,3,4700,1787,118,3519150,1096768,1467113,344928,92974,,,
Chugoku,199209,1861,12568,2093,3,7900,3176,87,2495990,646201,1188296,348715,81324,,,
Shikoku,199209,4670,36506,3952,8,23150,8076,45,1039150,218621,630164,163193,39595,,,
Kyushu,199209,4638,30700,4150,13,23400,8320,87,2196200,578977,1211819,280455,64740,,,
Okinawa,199209,81,,136,2,3080,1585,2,31000,14750,17451,1587,252,,,
Hokkaido,199208,3475,19201,1766,2,48000,7647,17,832100,178672,305939,84423,25436,963,35,23
Tohoku,199208,1472,9486,1136,8,15380,6898,98,2114750,520508,805010,223849,60752,,,
Tokyo,199208,11598,79770,7897,5,7300,2173,126,4454100,1262370,2171439,523873,168561,,,
Chubu,199208,8623,62335,4559,2,4900,1106,54,2066650,676360,2537779,579594,169877,,,
Hokuriku,199208,716,5211,681,1,2000,713,31,831300,206747,371033,91729,26965,,,
Kansai,199208,5007,20349,7613,3,4700,1616,118,3521150,1119276,1471414,345662,105364,,,
Chugoku,199208,1421,9562,1718,3,7900,3079,87,2420690,696257,1192284,349924,89195,,,
Shikoku,199208,4574,35856,4054,8,23150,7778,45,1039150,247400,630300,163292,41122,,,
Kyushu,199208,4100,26562,3859,13,23400,7573,87,2196200,551671,1210253,280039,66660,,,
Okinawa,199208,68,,121,2,3080,1579,2,31000,12657,16344,1501,135,,,
Hokkaido,199207,3296,18426,1779,2,48000,6656,17,832100,171723,307998,85011,28149,4219,71,110
Tohoku,199207,1383,8755,1000,8,15380,6702,98,2110450,480987,804867,224180,76455,,,
Tokyo,199207,10632,73694,5872,5,7300,2153,126,4454100,1289957,2174669,524832,184053,,,
Chubu,199207,4847,32859,2919,2,4900,1337,54,2063150,738183,2540738,580361,194545,,,
Hokuriku,199207,676,4815,577,1,2000,1184,31,831000,229819,369539,91409,31328,,,
Kansai,199207,4607,18853,5489,3,4700,1716,118,3521150,1117141,1474755,346289,115950,,,
Chugoku,199207,1072,7258,1157,3,7900,3349,87,2417190,732349,1194708,350752,103292,,,
Shikoku,199207,4454,34892,3660,8,23150,8382,45,1040650,207772,629627,163166,49130,,,
Kyushu,199207,3735,24012,3154,13,23400,8053,87,2185200,504501,1209376,279898,80793,,,
Okinawa,199207,63,,97,2,3080,1429,2,31000,10759,15839,1454,152,,,
Hokkaido,199206,2616,15611,1733,2,48000,6341,17,832100,165448,308961,85258,30522,58812,1121,2330
Tohoku,199206,1236,7404,762,8,15380,7176,98,2108650,610038,805524,224612,83710,200,2,
Tokyo,199206,9073,65089,4826,5,7300,1926,126,4450100,1388694,2175807,524896,194122,,,
Chubu,199206,4192,28868,2522,2,4900,1399,54,2059150,740975,2542822,581116,199842,,,
Hokuriku,199206,603,4299,489,1,2000,1109,31,831000,258572,367305,91290,33885,,,
Kansai,199206,4201,17314,4972,3,4700,1602,117,3512850,1156800,1477169,346860,124025,,,
Chugoku,199206,754,5106,737,3,7900,3444,88,2454325,732407,1197652,351717,113509,,,
Shikoku,199206,4099,32463,3497,8,23150,7612,45,1037650,229029,629805,163256,53910,,,
Kyushu,199206,2607,15949,1679,13,23400,7681,87,2188000,650570,1208957,279680,85556,,,
Okinawa,199206,46,,39,2,3080,1405,2,31000,13575,15832,1448,176,,,
Hokkaido,199205,2411,14600,2246,2,48000,6819,17,832100,190615,309686,85444,34909,80938,4804,6323
Tohoku,199205,1063,6321,844,8,15380,6819,98,2110600,569942,806094,225082,95357,513,23,2
Tokyo,199205,7637,56203,5916,5,7300,1858,126,4450100,1458273,2176802,525178,258603,,,
Chubu,199205,3803,26615,3169,2,4900,1514,54,2059150,748713,2543975,581698,277762,,,
Hokuriku,199205,517,3749,529,1,2000,1156,31,831000,259750,366754,91295,41457,,,-388
Kansai,199205,4007,16663,6523,3,4700,1607,117,3512850,1191602,1478506,347098,180266,,,
Chugoku,199205,549,3633,701,3,7900,3086,87,2454190,730944,1199960,352485,134725,,,
Shikoku,199205,3852,30863,3697,8,23100,8050,45,1037650,275448,630603,163486,61134,,,
Kyushu,199205,2119,13094,1769,13,23400,7537,87,2188000,663258,1207105,279125,118405,,,
Okinawa,199205,45,,39,2,3080,1348,2,31000,14117,15802,1435,177,,,
Hokkaido,199204,2285,13869,2324,2,48000,5053,17,832100,176998,306897,84927,36176,225066,18457,26408
Tohoku,199204,973,5750,1065,8,15380,7042,98,2111600,540899,804399,225083,114274,1668,181,3957
Tokyo,199204,7463,54748,6172,5,7300,1920,126,4450100,1392845,2173568,524262,264761,,,
Chubu,199204,3571,24784,3304,2,4900,1115,54,2059150,716636,2538440,581259,290271,,,
Hokuriku,199204,486,3483,538,1,2000,962,31,831000,253590,365693,91191,42561,67,6,615
Kansai,199204,3945,16383,6731,3,4700,1669,117,3512850,1135941,1474087,346239,181557,,,
Chugoku,199204,520,3451,764,3,7900,3293,86,2451190,682261,1200363,352600,152785,,,
Shikoku,199204,3805,30494,4403,8,23100,7835,45,1037650,268908,630417,163459,72789,,,
Kyushu,199204,2089,12857,1812,13,23400,7029,87,2188000,593859,1196407,275876,119405,,,
Okinawa,199204,44,,41,2,3080,1469,2,31000,12693,16099,1492,305,,,
Hokkaido,199203,2054,12612,2379,2,47000,7518,17,832100,160059,309110,85717,35983,222177,18232,45179
Tohoku,199203,828,4776,908,10,19330,8025,94,2089350,571935,800520,224885,100640,194345,21146,16197
Tokyo,199203,7147,53284,5857,5,7300,1886,127,4450500,1386968,2164281,521342,256300,,,
Chubu,199203,3343,23222,3185,2,4700,1445,54,2058750,717230,2522766,579070,274226,,,
Hokuriku,199203,454,3243,539,1,2000,1025,31,831700,250631,362715,90351,44398,52068,3008,2765
Kansai,199203,3853,15975,6632,3,4700,1678,116,3423800,1089845,1468066,345417,177891,,,
Chugoku,199203,501,3319,753,3,7900,3585,89,2347990,667340,1202192,353129,154010,,,
Shikoku,199203,3760,30156,4599,8,23100,7838,43,955050,278764,630162,163342,76641,,,
Kyushu,199203,2072,12683,1810,12,22850,7458,85,2160700,610221,1189125,275257,117215,,,
Okinawa,199203,44,,46,2,3080,1231,2,31000,15106,15916,1456,513,,,
Hokkaido,199202,1876,11568,2525,2,47000,6886,17,832100,143854,306898,85171,38899,221876,18091,53879
Tohoku,199202,735,4343,917,10,19330,7381,94,2089350,562908,800207,225326,105525,200112,22039,21965
Tokyo,199202,6734,50273,6327,5,7300,1681,127,4450500,1282982,2159798,520647,280653,,,
Chubu,199202,3114,21671,3223,2,4700,1439,54,2058750,686294,2516811,577653,292843,,,
Hokuriku,199202,387,2800,476,1,2000,979,31,831700,245323,362562,90365,45099,100134,5768,5786
Kansai,199202,3770,15587,7060,3,4700,1591,116,3423800,1055589,1469568,345975,191278,,,
Chugoku,199202,495,3265,809,3,7900,3266,89,2347990,651824,1204984,354137,168246,,,
Shikoku,199202,3698,29646,4632,8,23100,8013,43,955050,264154,630262,163350,79481,,,
Kyushu,199202,2021,12283,1961,12,22850,7277,85,2160700,564368,1180657,274890,124601,,,
Okinawa,199202,43,,44,2,3080,1260,2,31000,12711,15815,1388,767,,,
Hokkaido,199201,1839,11082,2350,2,47000,6229,17,832100,152040,306439,85128,37964,211564,17385,33896
Tohoku,199201,674,3980,941,10,19330,7982,94,2089350,579663,798791,225318,125461,198707,21892,13656
Tokyo,199201,6262,46099,6974,5,7300,1661,127,4450500,1279190,2160316,521048,322662,,,
Chubu,199201,2773,19014,3379,2,4700,1054,54,2058750,682323,2517899,577868,334333,,,
Hokuriku,199201,325,2361,468,1,2000,1070,31,831700,268728,362209,90314,50528,100016,5758,4289
Kansai,199201,3687,15225,8243,3,4700,1543,116,3423800,1066923,1472458,346758,225251,,,
Chugoku,199201,485,3175,840,3,7900,3109,89,2347990,658336,1207029,354943,177304,,,
Shikoku,199201,3523,28177,4474,8,23100,7989,43,953850,264546,630799,163493,81907,,,
Kyushu,199201,1973,11942,2236,12,22850,6998,85,2148200,601125,1178471,274517,143836,,,
Okinawa,199201,40,,39,2,3080,1377,2,31000,13617,15709,1375,1066,,,
Hokkaido,199112,1605,9859,1642,2,47000,6650,17,832100,174297,307134,85384,33133,93018,4924,9632
Tohoku,199112,562,3240,496,10,19330,8757,94,2089350,595980,798802,225787,87528,193375,21331,1943
Tokyo,199112,6008,43954,4310,5,7300,1816,127,4450500,1437095,2157230,520245,227655,,,
Chubu,199112,2420,16634,1945,2,4700,1387,53,2048750,732569,2516546,577743,248081,,,
Hokuriku,199112,291,2137,291,1,2000,1187,31,831700,286766,361024,90127,38223,83212,4114,900
Kansai,199112,3565,14635,5638,3,4700,1625,116,3428800,1107912,1473072,346925,160713,,,
Chugoku,199112,470,3079,653,3,7900,3273,88,2342790,707586,1208969,355579,142499,,,
Shikoku,199112,3249,25846,3203,8,23100,8049,43,953850,274342,631518,163659,66413,,,
Kyushu,199112,1921,11502,1541,12,22850,7314,85,2148200,625433,1173305,273316,104767,,,
Okinawa,199112,39,,32,2,3080,1245,2,31000,15759,15469,1347,1025,,,
Hokkaido,199111,1461,9139,1108,2,47000,7600,17,832100,163620,307308,85490,29847,48591,837,2039
Tohoku,199111,399,2478,346,10,19330,8711,94,2089350,603588,794843,225519,85001,72675,5907,84
Tokyo,199111,5340,39556,4287,5,7300,1944,127,4450500,1507345,2158302,520373,250783,,,
Chubu,199111,1999,13799,1563,2,4700,1513,53,2048750,736149,2514823,577272,245797,,,
Hokuriku,199111,243,1760,240,1,2000,1166,31,831700,282431,360255,90140,37272,30793,1083,54
Kansai,199111,3358,13574,5371,3,4700,1948,116,3428800,1112753,1474763,347367,160416,,,
Chugoku,199111,449,2925,587,3,7900,3402,89,2347990,713973,1211645,356499,130113,,,
Shikoku,199111,2882,22759,2532,8,23100,8348,43,953850,268255,632541,163826,60845,,,
Kyushu,199111,1870,11172,1463,12,22850,7631,85,2146900,601564,1169985,272644,103302,,,
Okinawa,199111,39,,31,2,3080,1479,2,31000,14294,14969,1305,759,,,
Hokkaido,199110,1297,7939,741,2,47000,7723,17,832100,191582,307317,85595,25979,264,15,47
Tohoku,199110,347,2143,254,10,19330,8951,94,2088650,628862,795841,226102,80100,768,72,
Tokyo,199110,4960,36968,2972,5,7300,2037,127,4442400,1548758,2156637,519950,178343,,,
Chubu,199110,1565,10878,907,2,4700,1533,53,2048750,777182,2516109,577723,177491,,,
Hokuriku,199110,225,1612,183,1,2000,548,31,830700,275781,359630,90151,30747,919,29,10
Kansai,199110,3183,12739,4307,3,4700,1596,116,3419800,1210588,1477577,348008,112214,,,
Chugoku,199110,432,2815,487,3,7900,3504,89,2347590,756810,1214126,357294,97265,,,
Shikoku,199110,2500,19722,1890,8,23100,8575,43,951550,267773,634071,164190,47216,,,
Kyushu,199110,1829,10892,1148,12,22850,7693,85,2146900,624565,1167456,272149,74329,,,
Okinawa,199110,38,,34,2,2200,1298,2,31000,13147,14487,1267,426,,,
Hokkaido,199109,1202,7394,606,2,47000,10255,17,832100,206411,306708,85526,24317,474,21,
Tohoku,199109,315,1897,201,10,19330,8523,94,2084550,592362,793558,226128,61894,,,
Tokyo,199109,4496,33563,2780,5,7300,1987,127,4426100,1358713,2156785,519393,160092,,,
Chubu,199109,1136,8114,796,2,4600,1489,53,2029050,764170,2517541,578103,167427,,,
Hokuriku,199109,220,1571,174,1,2000,834,31,830700,234216,358677,89978,26322,,,
Kansai,199109,3045,12240,4956,3,4700,1724,116,3416800,1155307,1479307,348383,96974,,,
Chugoku,199109,431,2778,544,3,7900,3421,89,2326590,702836,1216428,358059,86608,,,
Shikoku,199109,2154,17390,1725,8,23100,8285,43,951550,230045,635452,164532,38522,,,
Kyushu,199109,1780,10663,1194,12,22850,7390,85,2146500,578329,1167096,271953,64800,,,
Okinawa,199109,35,,37,2,2200,1317,2,31000,14335,13667,1211,195,,,
Hokkaido,199108,1102,6741,581,2,47000,9325,17,832100,206604,307088,85713,25540,1563,40,11
Tohoku,199108,298,1777,182,10,19330,8745,93,2079600,550018,792664,226387,61517,,,
Tokyo,199108,4015,30046,2606,5,7300,2191,127,4426100,1324784,2157786,519619,156575,,,
Chubu,199108,943,6950,668,2,4600,1157,53,2029050,704956,2518447,578300,165222,,,
Hokuriku,199108,216,1531,180,1,2000,1042,31,830700,216912,357757,89858,27944,,,
Kansai,199108,2833,11468,5404,3,4700,1775,116,3415800,1156193,1481586,348961,106263,,,
Chugoku,199108,408,2609,526,3,7900,3223,89,2347590,733643,1218641,358790,93139,,,
Shikoku,199108,2013,16314,1856,8,23100,8290,43,951550,229993,636311,164765,41495,,,
Kyushu,199108,1695,10182,1269,12,22850,7181,85,2141700,572274,1166224,271717,68151,,,
Okinawa,199108,33,,33,2,2200,1362,2,31000,14427,13090,1163,86,,,
Hokkaido,199107,926,5636,520,2,47000,8269,17,832100,200279,306766,85851,26715,3102,105,40
Tohoku,199107,282,1666,185,10,19330,8473,93,2049600,526668,792024,226622,72773,,,
Tokyo,199107,3557,26505,2123,5,7300,2255,127,4422700,1345780,2158030,519861,164033,,,
Chubu,199107,875,6443,533,2,4600,1455,53,2011050,768905,2518143,578506,165636,,,
Hokuriku,199107,198,1369,155,1,2000,1172,31,827700,258927,356954,89768,28763,,,
Kansai,199107,1499,6106,2051,3,4700,1779,116,3415500,1175681,1490220,350903,104982,,,
Chugoku,199107,354,2280,358,4,12400,6642,88,2342990,729784,1220850,359530,95180,,,
Shikoku,199107,1917,15404,1602,8,23100,8253,43,951550,229219,636242,164695,46708,,,
Kyushu,199107,1582,9361,928,12,22850,7559,85,2121200,563725,1165231,271518,72148,,,
Okinawa,199107,24,,24,2,2200,1376,2,31000,13726,12718,1132,85,,,
Hokkaido,199106,874,5312,597,2,47000,8227,17,832100,209689,306423,85881,30484,47492,892,1068
Tohoku,199106,270,1591,171,10,19330,9068,93,2047300,651840,792095,227118,71725,,,
Tokyo,199106,3228,24120,2018,5,7300,2049,127,4381700,1571745,2159344,519884,193406,,,
Chubu,199106,833,6098,554,2,4600,1527,53,2011050,803618,2516489,578454,194429,,,
Hokuriku,199106,189,1316,153,1,2000,1124,31,827700,269587,356390,89679,32077,,,
Kansai,199106,847,3803,914,3,4700,1732,116,3394000,1240317,1494580,351821,125092,,,
Chugoku,199106,309,1996,357,4,12400,6462,88,2341490,723865,1222786,360237,124547,,,
Shikoku,199106,1862,14968,1603,8,23050,7963,43,951550,280478,636599,164834,54570,,,
Kyushu,199106,1349,8026,850,12,22850,7030,84,2093200,663527,1163377,271028,82562,,,
Okinawa,199106,22,,18,2,2200,1284,2,31000,13829,12614,1113,113,,,
Hokkaido,199105,717,4393,664,2,47000,7190,17,832100,209311,306381,86034,33453,72699,4261,4771
Tohoku,199105,237,1373,224,10,19330,8874,93,2046650,632921,792383,227493,100898,370,8,3
Tokyo,199105,2925,22034,2184,5,7300,1873,127,4381700,1554729,2155970,519086,240257,,,
Chubu,199105,738,5265,625,2,4600,1576,53,2007050,801759,2517259,579002,289159,,,
Hokuriku,199105,178,1237,183,1,2000,1123,31,827700,276922,355267,89527,42175,,,-3
Kansai,199105,675,3058,968,3,4700,1685,116,3394000,1299335,1495908,352028,186961,,,
Chugoku,199105,322,1978,338,4,12400,6085,87,2339990,741462,1224236,360736,143917,,,
Shikoku,199105,1794,14433,1726,8,23250,8079,43,947550,321576,636859,164981,64915,,,
Kyushu,199105,850,4960,564,12,22850,7232,83,2093200,656951,1161279,270136,119401,,,
Okinawa,199105,20,,15,2,2200,1325,2,31000,14974,12506,1098,138,,,
Hokkaido,199104,795,4796,790,2,47000,6604,17,832100,206849,304948,85631,36487,185659,15777,24263
Tohoku,199104,217,1260,260,10,19330,9125,93,2047950,614877,791684,227606,104688,1901,218,3638
Tokyo,199104,2632,19851,2240,5,7300,1874,127,4381700,1509882,2151254,517535,264185,,,
Chubu,199104,629,4464,577,2,4600,1221,53,2002050,766748,2508606,578159,284168,,,
Hokuriku,199104,153,1009,147,1,2000,1091,31,827700,265955,353873,89282,40470,315,15,279
Kansai,199104,570,2621,809,3,4700,1816,116,3394000,1246315,1492396,351523,178681,,,
Chugoku,199104,243,1571,289,4,12400,6311,88,2340490,722037,1225066,360863,154935,,,
Shikoku,199104,1706,13786,1812,8,23250,7720,43,947550,300230,637417,165107,72927,,,
Kyushu,199104,507,2830,360,12,22850,7342,83,2093200,672151,1148247,266660,115106,,,
Okinawa,199104,18,,14,2,2200,1325,2,31000,15030,12486,1080,220,,,
Hokkaido,199103,771,4632,768,2,47000,4121,16,787600,189960,305537,85865,35715,198472,15784,36618
Tohoku,199103,188,1091,142,10,19230,9576,92,2037300,631765,787777,227080,106251,181633,20002,21065
Tokyo,199103,2169,16582,1902,5,7300,1814,129,4282300,1552439,2142343,514369,260485,,,
Chubu,199103,513,3553,538,2,4400,1699,53,1943850,807391,2492482,576109,283426,,,
Hokuriku,199103,122,833,143,1,2000,1247,31,828200,275292,350165,88496,41118,51963,3001,4834
Kansai,199103,456,2064,669,3,4650,1802,115,3350350,1266649,1489384,351282,187549,,,
Chugoku,199103,197,1284,232,5,12950,7308,86,2185670,700895,1227326,361595,159404,,,
Shikoku,199103,1505,12316,1677,8,23050,8392,43,943150,337206,638471,165322,75808,,,
Kyushu,199103,449,2478,278,11,19200,6687,83,2090300,683977,1136383,265340,118142,,,
Okinawa,199103,14,,12,2,2200,1262,2,31000,15347,12493,1077,332,,,
Hokkaido,199102,702,4276,783,2,47000,5416,16,787600,169856,303946,85593,38695,166497,15586,38225
Tohoku,199102,171,975,306,10,19230,8143,92,2037300,595943,786306,227092,103659,187777,20967,28725
Tokyo,199102,1690,12770,1568,5,7300,1536,129,4282300,1396820,2139245,513888,272852,,,
Chubu,199102,350,2446,413,2,4400,1584,53,1943850,731555,2478663,573685,289355,,,
Hokuriku,199102,102,692,116,1,2000,1078,31,828200,253878,349404,88337,42447,94304,5244,6914
Kansai,199102,342,1594,466,3,4650,1675,115,3350350,1136684,1491933,351945,199059,,,
Chugoku,199102,168,1091,223,6,14630,7429,86,2185670,664807,1229130,362582,170410,,,
Shikoku,199102,1311,10477,1438,8,23050,7460,43,935650,269618,638524,165347,84733,,,
Kyushu,199102,360,1967,371,11,19200,6177,83,2090300,603633,1130170,264742,122294,,,
Okinawa,199102,13,,11,2,2200,1245,2,31000,13409,12342,1053,500,,,
Hokkaido,199101,470,2979,609,2,47000,7447,16,787600,189315,303381,85405,36083,170766,15056,21434
Tohoku,199101,143,787,233,10,19230,8476,92,2037300,660983,783970,226822,121668,186348,20823,17517
Tokyo,199101,1160,8823,1205,5,7300,1738,129,4282300,1416065,2139486,513753,320821,,,
Chubu,199101,258,1755,353,2,4400,1232,53,1943850,741579,2477751,573597,337062,,,
Hokuriku,199101,76,501,97,1,2000,1020,31,827900,281195,348856,88314,49883,93963,5212,6799
Kansai,199101,237,1152,392,3,4650,1726,115,3348850,1189171,1494348,352614,226519,,,
Chugoku,199101,156,1025,208,6,14630,7262,86,2199670,697316,1232687,363436,185385,,,
Shikoku,199101,873,6672,923,8,23050,7941,43,935650,307426,640111,165711,85049,,,
Kyushu,199101,263,1454,263,11,19200,6193,83,2078300,651945,1128605,264352,139953,,,
Okinawa,199101,11,,9,2,2200,1225,2,31000,14635,12251,1041,802,,,
Hokkaido,199012,290,1903,302,2,47000,6641,16,787600,190610,304088,85664,32570,69100,3465,5294
Tohoku,199012,113,602,94,10,19230,9248,92,2033600,659753,783132,227054,88235,181847,20291,703
Tokyo,199012,561,4097,389,5,7300,1939,129,4281200,1523493,2139787,513690,245520,,,
Chubu,199012,194,1292,171,2,4400,1466,53,1943850,771762,2473765,572685,256978,,,
Hokuriku,199012,41,259,32,1,2000,1163,31,827900,301583,347616,88137,37846,80024,3929,604
Kansai,199012,156,752,148,3,4650,1851,116,3373850,1215847,1494720,352848,169737,,,
Chugoku,199012,116,757,109,6,14630,7604,86,2179670,688802,1233266,363757,148976,,,
Shikoku,199012,474,3367,325,8,23050,8349,43,935650,321033,641207,166031,65784,,,
Kyushu,199012,173,961,125,11,19200,6468,83,2067100,673445,1125340,263689,105536,,,
Okinawa,199012,7,,5,2,2200,1211,2,31000,15544,12107,1020,828,,,
Hokkaido,199011,201,1372,77,2,47000,7308,16,776600,168755,305988,85969,29388,39211,474,1246
Tohoku,199011,54,261,16,10,19230,9147,92,2034500,610534,781047,226809,81287,69300,5665,82
Tokyo,199011,195,1492,66,5,7300,1980,129,4281200,1575221,2139651,513721,218141,,,
Chubu,199011,89,627,54,2,4400,1613,53,1943850,741917,2469872,571816,236559,,,
Hokuriku,199011,14,97,6,1,2000,1077,31,827900,287183,345801,87895,35152,28710,1002,44
Kansai,199011,71,337,39,3,4650,1838,116,3369350,1217941,1495582,353238,158469,,,
Chugoku,199011,62,411,18,6,14630,7528,86,2170970,707546,1235908,364622,130968,,,
Shikoku,199011,199,1308,70,8,23050,7868,43,935650,301748,642252,166270,61797,,,
