Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Tohoku,199102,,,1728386,,,,,,,,,,4395911,,2891087,,7286998,,,,,,,,,,,,,,,
Tokyo,199102,,,8928949,,,,,,,,,,14110090,,8684988,,22795078,,,,,,,,,,,,,,,
Chubu,199102,,,3212419,,,,,,,,,,7103975,,5084554,,12188529,,,,,,,,,,,,,,,
Hokuriku,199102,,,612637,,,,,,,,,,1578153,,998886,,2577039,,,,,,,,,,,,,,,
Kansai,199102,,,2274729,,,,,,,,,,7600371,,4893767,,12494138,,,,,,,,,,,,,,,
Chugoku,199102,,,732632,,,,,,,,,,2881641,,1797897,,4679538,,,,,,,,,,,,,,,
Shikoku,199102,,,503675,,,,,,,,,,1866733,,967149,,2833882,,,,,,,,,,,,,,,
Kyushu,199102,,,1549318,,,,,,,,,,4862828,,2048209,,6911037,,,,,,,,,,,,,,,
Okinawa,199102,,,,,,,,,,,,,396576,,101498,,498074,,,,,,,,,,,,,,,
Hokkaido,199101,,,687277,,,,,,,,,,1465434,,1060805,,2526239,,,,,,,,,,,,,,,
Tohoku,199101,,,1721714,,,,,,,,,,4391457,,2881006,,7272463,,,,,,,,,,,,,,,
Tokyo,199101,,,8888035,,,,,,,,,,14089438,,8663003,,22752441,,,,,,,,,,,,,,,
Chubu,199101,,,3201284,,,,,,,,,,7100511,,5074903,,12175414,,,,,,,,,,,,,,,
Hokuriku,199101,,,610535,,,,,,,,,,1577733,,998447,,2576180,,,,,,,,,,,,,,,
Kansai,199101,,,2267550,,,,,,,,,,7596787,,4879732,,12476519,,,,,,,,,,,,,,,
Chugoku,199101,,,730629,,,,,,,,,,2879842,,1790100,,4669942,,,,,,,,,,,,,,,
Shikoku,199101,,,503428,,,,,,,,,,1866996,,964599,,2831595,,,,,,,,,,,,,,,
Kyushu,199101,,,1542899,,,,,,,,,,4858971,,2042416,,6901387,,,,,,,,,,,,,,,
Okinawa,199101,,,,,,,,,,,,,396221,,101361,,497582,,,,,,,,,,,,,,,
Hokkaido,199012,,,681121,,,,,,,,,,1461625,,1057960,,2519585,,,,,,,,,,,,,,,
Tohoku,199012,,,1710034,,,,,,,,,,4381240,,2867089,,7248329,,,,,,,,,,,,,,,
Tokyo,199012,,,8823095,,,,,,,,,,14056172,,8635645,,22691817,,,,,,,,,,,,,,,
Chubu,199012,,,3180633,,,,,,,,,,7086478,,5047513,,12133991,,,,,,,,,,,,,,,
Hokuriku,199012,,,607151,,,,,,,,,,1575163,,998319,,2573482,,,,,,,,,,,,,,,
Kansai,199012,,,2256702,,,,,,,,,,7580760,,4864415,,12445175,,,,,,,,,,,,,,,
Chugoku,199012,,,726723,,,,,,,,,,2873999,,1778430,,4652429,,,,,,,,,,,,,,,
Shikoku,199012,,,501340,,,,,,,,,,1862311,,961122,,2823433,,,,,,,,,,,,,,,
Kyushu,199012,,,1533002,,,,,,,,,,4843022,,2031793,,6874815,,,,,,,,,,,,,,,
Okinawa,199012,,,,,,,,,,,,,395846,,101397,,497243,,,,,,,,,,,,,,,
Hokkaido,199011,,,676560,,,,,,,,,,1458614,,1052948,,2511562,,,,,,,,,,,,,,,
Tohoku,199011,,,1707849,,,,,,,,,,4372874,,2852408,,7225282,,,,,,,,,,,,,,,
Tokyo,199011,,,8758499,,,,,,,,,,14027403,,8601905,,22629308,,,,,,,,,,,,,,,
Chubu,199011,,,3160416,,,,,,,,,,7072174,,5017341,,12089515,,,,,,,,,,,,,,,
Hokuriku,199011,,,603280,,,,,,,,,,1571882,,996019,,2567901,,,,,,,,,,,,,,,
Kansai,199011,,,2246527,,,,,,,,,,7562321,,4848902,,12411223,,,,,,,,,,,,,,,
Chugoku,199011,,,722829,,,,,,,,,,2866335,,1767127,,4633462,,,,,,,,,,,,,,,
Shikoku,199011,,,499361,,,,,,,,,,1857068,,958264,,2815332,,,,,,,,,,,,,,,
Kyushu,199011,,,1521877,,,,,,,,,,4826559,,2021383,,6847942,,,,,,,,,,,,,,,
Okinawa,199011,,,,,,,,,,,,,395153,,101270,,496423,,,,,,,,,,,,,,,
Hokkaido,199010,,,672163,,,,,,,,,,1454465,,1046217,,2500682,,,,,,,,,,,,,,,
Tohoku,199010,,,1683798,,,,,,,,,,4365290,,2836586,,7201876,,,,,,,,,,,,,,,
Tokyo,199010,,,8704589,,,,,,,,,,13989921,,8565828,,22555749,,,,,,,,,,,,,,,
Chubu,199010,,,3144433,,,,,,,,,,7057560,,4995693,,12053253,,,,,,,,,,,,,,,
Hokuriku,199010,,,600902,,,,,,,,,,1568841,,991918,,2560759,,,,,,,,,,,,,,,
Kansai,199010,,,2237107,,,,,,,,,,7544622,,4830837,,12375459,,,,,,,,,,,,,,,
Chugoku,199010,,,719348,,,,,,,,,,2860153,,1759334,,4619487,,,,,,,,,,,,,,,
Shikoku,199010,,,496809,,,,,,,,,,1854587,,954727,,2809314,,,,,,,,,,,,,,,
Kyushu,199010,,,1513846,,,,,,,,,,4816420,,2005588,,6822008,,,,,,,,,,,,,,,
Okinawa,199010,,,,,,,,,,,,,393464,,101442,,494906,,,,,,,,,,,,,,,
Hokkaido,199009,,,668367,,,,,,,,,,1450781,,1038221,,2489002,,,,,,,,,,,,,,,
Tohoku,199009,,,1672780,,,,,,,,,,4353111,,2815369,,7168480,,,,,,,,,,,,,,,
Tokyo,199009,,,8649179,,,,,,,,,,13964775,,8543307,,22508082,,,,,,,,,,,,,,,
Chubu,199009,,,3132434,,,,,,,,,,7049649,,4972473,,12022122,,,,,,,,,,,,,,,
Hokuriku,199009,,,598525,,,,,,,,,,1566800,,986593,,2553393,,,,,,,,,,,,,,,
Kansai,199009,,,2229284,,,,,,,,,,7532339,,4817639,,12349978,,,,,,,,,,,,,,,
Chugoku,199009,,,717578,,,,,,,,,,2856307,,1753815,,4610122,,,,,,,,,,,,,,,
Shikoku,199009,,,494589,,,,,,,,,,1851815,,953293,,2805108,,,,,,,,,,,,,,,
Kyushu,199009,,,1505290,,,,,,,,,,4805978,,1993534,,6799512,,,,,,,,,,,,,,,
Okinawa,199009,,,,,,,,,,,,,391893,,101384,,493277,,,,,,,,,,,,,,,
Hokkaido,199008,,,664607,,,,,,,,,,1444063,,1033569,,2477632,,,,,,,,,,,,,,,
Tohoku,199008,,,1666938,,,,,,,,,,4341199,,2795581,,7136780,,,,,,,,,,,,,,,
Tokyo,199008,,,8597954,,,,,,,,,,13930884,,8514357,,22445241,,,,,,,,,,,,,,,
Chubu,199008,,,3117639,,,,,,,,,,7033669,,4947893,,11981562,,,,,,,,,,,,,,,
Hokuriku,199008,,,596356,,,,,,,,,,1564456,,980976,,2545432,,,,,,,,,,,,,,,
Kansai,199008,,,2221071,,,,,,,,,,7516859,,4798697,,12315556,,,,,,,,,,,,,,,
Chugoku,199008,,,714289,,,,,,,,,,2849308,,1743908,,4593216,,,,,,,,,,,,,,,
Shikoku,199008,,,491344,,,,,,,,,,1847612,,949779,,2797391,,,,,,,,,,,,,,,
Kyushu,199008,,,1497102,,,,,,,,,,4791688,,1988242,,6779930,,,,,,,,,,,,,,,
Okinawa,199008,,,,,,,,,,,,,390244,,100902,,491146,,,,,,,,,,,,,,,
Hokkaido,199007,,,661030,,,,,,,,,,1438010,,1025358,,2463368,,,,,,,,,,,,,,,
Tohoku,199007,,,1659628,,,,,,,,,,4324683,,2780719,,7105402,,,,,,,,,,,,,,,
Tokyo,199007,,,8536440,,,,,,,,,,13875971,,8484398,,22360369,,,,,,,,,,,,,,,
Chubu,199007,,,3099099,,,,,,,,,,7012062,,4931779,,11943841,,,,,,,,,,,,,,,
Hokuriku,199007,,,592864,,,,,,,,,,1559473,,978906,,2538379,,,,,,,,,,,,,,,
Kansai,199007,,,2210644,,,,,,,,,,7495638,,4781199,,12276837,,,,,,,,,,,,,,,
Chugoku,199007,,,710940,,,,,,,,,,2837402,,1732721,,4570123,,,,,,,,,,,,,,,
Shikoku,199007,,,487861,,,,,,,,,,1839672,,945442,,2785114,,,,,,,,,,,,,,,
Kyushu,199007,,,1486518,,,,,,,,,,4769787,,1981802,,6751589,,,,,,,,,,,,,,,
Okinawa,199007,,,,,,,,,,,,,388235,,100497,,488732,,,,,,,,,,,,,,,
Hokkaido,199006,,,658469,,,,,,,,,,1433291,,1019411,,2452702,,,,,,,,,,,,,,,
Tohoku,199006,,,1653636,,,,,,,,,,4307056,,2754068,,7061124,,,,,,,,,,,,,,,
Tokyo,199006,,,8477730,,,,,,,,,,13829439,,8452403,,22281842,,,,,,,,,,,,,,,
Chubu,199006,,,3084165,,,,,,,,,,6991750,,4905010,,11896760,,,,,,,,,,,,,,,
Hokuriku,199006,,,590558,,,,,,,,,,1555947,,971024,,2526971,,,,,,,,,,,,,,,
Kansai,199006,,,2201211,,,,,,,,,,7474858,,4767491,,12242349,,,,,,,,,,,,,,,
Chugoku,199006,,,708299,,,,,,,,,,2828769,,1726927,,4555696,,,,,,,,,,,,,,,
Shikoku,199006,,,486021,,,,,,,,,,1834170,,940225,,2774395,,,,,,,,,,,,,,,
Kyushu,199006,,,1479561,,,,,,,,,,4748256,,1969527,,6717783,,,,,,,,,,,,,,,
Okinawa,199006,,,,,,,,,,,,,385689,,99576,,485265,,,,,,,,,,,,,,,
Hokkaido,199005,,,657031,,,,,,,,,,1432906,,1015620,,2448526,,,,,,,,,,,,,,,
Tohoku,199005,,,1642491,,,,,,,,,,4297407,,2740399,,7037806,,,,,,,,,,,,,,,
Tokyo,199005,,,8420969,,,,,,,,,,13787718,,8422677,,22210395,,,,,,,,,,,,,,,
Chubu,199005,,,3070088,,,,,,,,,,6976371,,4883000,,11859371,,,,,,,,,,,,,,,
Hokuriku,199005,,,588414,,,,,,,,,,1553217,,968354,,2521571,,,,,,,,,,,,,,,
Kansai,199005,,,2191725,,,,,,,,,,7455326,,4753521,,12208847,,,,,,,,,,,,,,,
Chugoku,199005,,,704466,,,,,,,,,,2821740,,1719483,,4541223,,,,,,,,,,,,,,,
Shikoku,199005,,,483471,,,,,,,,,,1828954,,939833,,2768787,,,,,,,,,,,,,,,
Kyushu,199005,,,1472681,,,,,,,,,,4734877,,1961451,,6696328,,,,,,,,,,,,,,,
Okinawa,199005,,,,,,,,,,,,,383484,,99399,,482883,,,,,,,,,,,,,,,
Hokkaido,199004,,,654574,,,,,,,,,,1430303,,1012038,,2442341,,,,,,,,,,,,,,,
Tohoku,199004,,,1636936,,,,,,,,,,4289941,,2725916,,7015857,,,,,,,,,,,,,,,
Tokyo,199004,,,8363365,,,,,,,,,,13760537,,8387050,,22147587,,,,,,,,,,,,,,,
Chubu,199004,,,3057700,,,,,,,,,,6964259,,4866708,,11830967,,,,,,,,,,,,,,,
Hokuriku,199004,,,585903,,,,,,,,,,1550641,,966028,,2516669,,,,,,,,,,,,,,,
Kansai,199004,,,2182501,,,,,,,,,,7440864,,4742001,,12182865,,,,,,,,,,,,,,,
Chugoku,199004,,,700743,,,,,,,,,,2816199,,1709714,,4525913,,,,,,,,,,,,,,,
Shikoku,199004,,,480595,,,,,,,,,,1825598,,932785,,2758383,,,,,,,,,,,,,,,
Kyushu,199004,,,1464061,,,,,,,,,,4724687,,1947991,,6672678,,,,,,,,,,,,,,,
Okinawa,199004,,,,,,,,,,,,,382001,,99149,,481150,,,,,,,,,,,,,,,
Hokkaido,199003,,,653066,,,,,,,,,,1430630,,1010689,,2441319,,,,,,,,,,,,,,,
Tohoku,199003,,,1631466,,,,,,,,,,4284757,,2703733,,6988490,,,,,,,,,,,,,,,
Tokyo,199003,,,8307033,,,,,,,,,,13732604,,8359049,,22091653,,,,,,,,,,,,,,,
Chubu,199003,,,3037527,,,,,,,,,,6951565,,4839026,,11790591,,,,,,,,,,,,,,,
Hokuriku,199003,,,582855,,,,,,,,,,1548722,,959970,,2508692,,,,,,,,,,,,,,,
Kansai,199003,,,2173088,,,,,,,,,,7427407,,4722535,,12149942,,,,,,,,,,,,,,,
Chugoku,199003,,,697721,,,,,,,,,,2812540,,1701645,,4514185,,,,,,,,,,,,,,,
Shikoku,199003,,,478078,,,,,,,,,,1823115,,926867,,2749982,,,,,,,,,,,,,,,
Kyushu,199003,,,1457374,,,,,,,,,,4717743,,1935314,,6653057,,,,,,,,,,,,,,,
Okinawa,199003,,,,,,,,,,,,,380957,,98073,,479030,,,,,,,,,,,,,,,
Hokkaido,198909,,,628794,,,,,,,,,,1412378,,987408,,2399786,,,,,,,,,,,,,,,
Tohoku,198909,,,1590003,,,,,,,,,,4236150,,2612720,,6848870,,,,,,,,,,,,,,,
Tokyo,198909,,,8013867,,,,,,,,,,13579574,,8191027,,21770601,,,,,,,,,,,,,,,
Chubu,198909,,,2952554,,,,,,,,,,6887421,,4704276,,11591697,,,,,,,,,,,,,,,
Hokuriku,198909,,,567645,,,,,,,,,,1537374,,941660,,2479034,,,,,,,,,,,,,,,
Kansai,198909,,,2122569,,,,,,,,,,7357585,,4639090,,11996675,,,,,,,,,,,,,,,
Chugoku,198909,,,680219,,,,,,,,,,2792006,,1671914,,4463920,,,,,,,,,,,,,,,
Shikoku,198909,,,463434,,,,,,,,,,1809707,,901960,,2711667,,,,,,,,,,,,,,,
Kyushu,198909,,,1412900,,,,,,,,,,4661714,,1874450,,6536164,,,,,,,,,,,,,,,
Okinawa,198909,,,,,,,,,,,,,376894,,95787,,472681,,,,,,,,,,,,,,,
Hokkaido,198903,,,614196,,,,,,,,,,1391528,,1013919,,2405447,,,,,,,,,,,,,,,
Tohoku,198903,,,1558497,,,,,,,,,,4171581,,2602992,,6774573,,,,,,,,,,,,,,,
Tokyo,198903,,,7727838,,,,,,,,,,13353284,,8225611,,21578895,,,,,,,,,,,,,,,
Chubu,198903,,,2872796,,,,,,,,,,6796909,,4688777,,11485686,,,,,,,,,,,,,,,
Hokuriku,198903,,,554908,,,,,,,,,,1519973,,945633,,2465606,,,,,,,,,,,,,,,
Kansai,198903,,,2066613,,,,,,,,,,7256887,,4659655,,11916542,,,,,,,,,,,,,,,
Chugoku,198903,,,661970,,,,,,,,,,2753299,,1670206,,4423505,,,,,,,,,,,,,,,
Shikoku,198903,,,448377,,,,,,,,,,1782031,,901523,,2683554,,,,,,,,,,,,,,,
Kyushu,198903,,,1373362,,,,,,,,,,4578379,,1867814,,6446193,,,,,,,,,,,,,,,
Okinawa,198903,,,,,,,,,,,,,364367,,95535,,459902,,,,,,,,,,,,,,,
Hokkaido,198809,,,593274,,,,,,,,,,1375948,,1007665,,2383613,,,,,,,,,,,,,,,
Tohoku,198809,,,1525112,,,,,,,,,,4133787,,2542624,,6676411,,,,,,,,,,,,,,,
Tokyo,198809,,,7475823,,,,,,,,,,13209551,,8110884,,21320435,,,,,,,,,,,,,,,
Chubu,198809,,,2801182,,,,,,,,,,6737132,,4587474,,11324606,,,,,,,,,,,,,,,
Hokuriku,198809,,,542742,,,,,,,,,,1510214,,931089,,2441303,,,,,,,,,,,,,,,
Kansai,198809,,,2022971,,,,,,,,,,7195997,,4608354,,11804351,,,,,,,,,,,,,,,
Chugoku,198809,,,646690,,,,,,,,,,2734492,,1638612,,4373104,,,,,,,,,,,,,,,
Shikoku,198809,,,434815,,,,,,,,,,1765773,,883207,,2648980,,,,,,,,,,,,,,,
Kyushu,198809,,,1341700,,,,,,,,,,4541104,,1830836,,6371940,,,,,,,,,,,,,,,
Okinawa,198809,,,,,,,,,,,,,362655,,95026,,457681,,,,,,,,,,,,,,,
Hokkaido,198803,,,582380,,,,,,,,,,1371793,,1080614,,2452407,,,,,,,,,,,,,,,
Tohoku,198803,,,1498532,,,,,,,,,,4082032,,2655314,,6737346,,,,,,,,,,,,,,,
Tokyo,198803,,,7229447,,,,,,,,,,12982001,,8543328,,21525329,,,,,,,,,,,,,,,
Chubu,198803,,,2727790,,,,,,,,,,6653011,,4883661,,11536672,,,,,,,,,,,,,,,
Hokuriku,198803,,,531249,,,,,,,,,,1493662,,973407,,2467069,,,,,,,,,,,,,,,
Kansai,198803,,,1976880,,,,,,,,,,7101347,,4912192,,12013539,,,,,,,,,,,,,,,
Chugoku,198803,,,631805,,,,,,,,,,2696953,,1732026,,4428979,,,,,,,,,,,,,,,
Shikoku,198803,,,422104,,,,,,,,,,1744007,,916514,,2660521,,,,,,,,,,,,,,,
Kyushu,198803,,,1306623,,,,,,,,,,4472477,,1918838,,6391315,,,,,,,,,,,,,,,
Okinawa,198803,,,,,,,,,,,,,352981,,101207,,454188,,,,,,,,,,,,,,,
Hokkaido,198709,,,565388,,,,,,,,,,1358319,,1078583,,2436902,,,,,,,,,,,,,,,
Tohoku,198709,,,1458165,,,,,,,,,,4044330,,2621389,,6665719,,,,,,,,,,,,,,,
Tokyo,198709,,,7006839,,,,,,,,,,12864987,,8439146,,21304133,,,,,,,,,,,,,,,
Chubu,198709,,,2664288,,,,,,,,,,6607388,,4812886,,11420274,,,,,,,,,,,,,,,
Hokuriku,198709,,,520886,,,,,,,,,,1490033,,964250,,2454283,,,,,,,,,,,,,,,
Kansai,198709,,,1937469,,,,,,,,,,7061813,,4879159,,11940972,,,,,,,,,,,,,,,
Chugoku,198709,,,620371,,,,,,,,,,2687916,,1718779,,4406695,,,,,,,,,,,,,,,
Shikoku,198709,,,410620,,,,,,,,,,1733334,,907797,,2641131,,,,,,,,,,,,,,,
Kyushu,198709,,,1284231,,,,,,,,,,4466931,,1894046,,6360977,,,,,,,,,,,,,,,
Okinawa,198709,,,,,,,,,,,,,352188,,100225,,452413,,,,,,,,,,,,,,,
Hokkaido,198703,,,557183,,,,,,,,,,1349069,,1060492,,2409561,,,,,,,,,,,,,,,
Tohoku,198703,,,1445957,,,,,,,,,,4008963,,2604904,,6613867,,,,,,,,,,,,,,,
Tokyo,198703,,,6821354,,,,,,,,,,12688725,,8398825,,21087550,,,,,,,,,,,,,,,
Chubu,198703,,,2601359,,,,,,,,,,6543456,,4780670,,11324126,,,,,,,,,,,,,,,
Hokuriku,198703,,,513141,,,,,,,,,,1482689,,960800,,2443489,,,,,,,,,,,,,,,
Kansai,198703,,,1894992,,,,,,,,,,6993182,,4870554,,11863736,,,,,,,,,,,,,,,
Chugoku,198703,,,608056,,,,,,,,,,2661865,,1718478,,4380343,,,,,,,,,,,,,,,
Shikoku,198703,,,399131,,,,,,,,,,1717778,,898912,,2616690,,,,,,,,,,,,,,,
Kyushu,198703,,,1257971,,,,,,,,,,4415216,,1884609,,6299825,,,,,,,,,,,,,,,
Okinawa,198703,,,,,,,,,,,,,342069,,101080,,443149,,,,,,,,,,,,,,,
Hokkaido,198609,,,540326,,,,,,,,,,1341063,,1065536,,2406599,,,,,,,,,,,,,,,
Tohoku,198609,,,1412624,,,,,,,,,,3987326,,2587930,,6575256,,,,,,,,,,,,,,,
Tokyo,198609,,,6659037,,,,,,,,,,12606291,,8386722,,20993013,,,,,,,,,,,,,,,
Chubu,198609,,,2543423,,,,,,,,,,6509050,,4778356,,11287406,,,,,,,,,,,,,,,
Hokuriku,198609,,,504876,,,,,,,,,,1483473,,965433,,2448906,,,,,,,,,,,,,,,
Kansai,198609,,,1857294,,,,,,,,,,6963169,,4883303,,11846472,,,,,,,,,,,,,,,
Chugoku,198609,,,595933,,,,,,,,,,2657086,,1714961,,4372047,,,,,,,,,,,,,,,
Shikoku,198609,,,387855,,,,,,,,,,1712525,,899415,,2611940,,,,,,,,,,,,,,,
Kyushu,198609,,,1234216,,,,,,,,,,4403557,,1876754,,6280311,,,,,,,,,,,,,,,
Okinawa,198609,,,,,,,,,,,,,341389,,100907,,442296,,,,,,,,,,,,,,,
Hokkaido,198603,,,533720,,,,,,,,,,1338203,,1069101,,2407304,,,,,,,,,,,,,,,
Tohoku,198603,,,1397905,,,,,,,,,,3954698,,2579033,,6533731,,,,,,,,,,,,,,,
Tokyo,198603,,,6506493,,,,,,,,,,12446900,,8370148,,20817048,,,,,,,,,,,,,,,
Chubu,198603,,,2485880,,,,,,,,,,6449568,,4744876,,11194444,,,,,,,,,,,,,,,
Hokuriku,198603,,,498294,,,,,,,,,,1475810,,965948,,2441758,,,,,,,,,,,,,,,
Kansai,198603,,,1815873,,,,,,,,,,6898215,,4862086,,11760301,,,,,,,,,,,,,,,
Chugoku,198603,,,582789,,,,,,,,,,2631091,,1704710,,4335801,,,,,,,,,,,,,,,
Shikoku,198603,,,377079,,,,,,,,,,1698642,,899036,,2597678,,,,,,,,,,,,,,,
Kyushu,198603,,,1210410,,,,,,,,,,4354398,,1881702,,6236100,,,,,,,,,,,,,,,
Okinawa,198603,,,,,,,,,,,,,332370,,97116,,429486,,,,,,,,,,,,,,,
Hokkaido,198509,,,518117,,,,,,,,,,1327187,,1065080,,2392267,,,,,,,,,,,,,,,
Tohoku,198509,,,1374717,,,,,,,,,,3935847,,2564774,,6500621,,,,,,,,,,,,,,,
Tokyo,198509,,,6352592,,,,,,,,,,12349250,,8314383,,20663633,,,,,,,,,,,,,,,
Chubu,198509,,,2429055,,,,,,,,,,6412386,,4705993,,11118379,,,,,,,,,,,,,,,
Hokuriku,198509,,,490692,,,,,,,,,,1471969,,962836,,2434805,,,,,,,,,,,,,,,
Kansai,198509,,,1777926,,,,,,,,,,6858943,,4837608,,11696551,,,,,,,,,,,,,,,
Chugoku,198509,,,571799,,,,,,,,,,2622788,,1698607,,4321395,,,,,,,,,,,,,,,
Shikoku,198509,,,367486,,,,,,,,,,1693218,,900392,,2593610,,,,,,,,,,,,,,,
Kyushu,198509,,,1187211,,,,,,,,,,4342685,,1872612,,6215297,,,,,,,,,,,,,,,
Okinawa,198509,,,,,,,,,,,,,333647,,96515,,430162,,,,,,,,,,,,,,,
Hokkaido,198503,,,510490,,,,,,,,,,1321250,,1067442,,2388692,,,,,,,,,,,,,,,
Tohoku,198503,,,1353757,,,,,,,,,,3980778,,2531115,,6511893,,,,,,,,,,,,,,,
Tokyo,198503,,,6211586,,,,,,,,,,12170900,,8216812,,20387712,,,,,,,,,,,,,,,
Chubu,198503,,,2375852,,,,,,,,,,6338069,,4621269,,10959338,,,,,,,,,,,,,,,
Hokuriku,198503,,,484548,,,,,,,,,,1495946,,963776,,2459722,,,,,,,,,,,,,,,
Kansai,198503,,,1737728,,,,,,,,,,6783727,,4796584,,11580311,,,,,,,,,,,,,,,
Chugoku,198503,,,559614,,,,,,,,,,2595755,,1686942,,4282697,,,,,,,,,,,,,,,
Shikoku,198503,,,357160,,,,,,,,,,1677252,,898128,,2575380,,,,,,,,,,,,,,,
Kyushu,198503,,,1164489,,,,,,,,,,4287173,,1868292,,6155465,,,,,,,,,,,,,,,
Okinawa,198503,,,,,,,,,,,,,324165,,95750,,419915,,,,,,,,,,,,,,,
Hokkaido,198409,,,496351,,,,,,,,,,1309605,,1064918,,2374523,,,,,,,,,,,,,,,
Tohoku,198409,,,1328336,,,,,,,,,,3950466,,2509748,,6460214,,,,,,,,,,,,,,,
Tokyo,198409,,,6071320,,,,,,,,,,12060849,,8111273,,20172122,,,,,,,,,,,,,,,
Chubu,198409,,,2319128,,,,,,,,,,6284586,,4550065,,10834651,,,,,,,,,,,,,,,
Hokuriku,198409,,,476394,,,,,,,,,,1490255,,965070,,2455325,,,,,,,,,,,,,,,
Kansai,198409,,,1698092,,,,,,,,,,6727943,,4762947,,11490890,,,,,,,,,,,,,,,
Chugoku,198409,,,550050,,,,,,,,,,2584493,,1673749,,4258242,,,,,,,,,,,,,,,
Shikoku,198409,,,347190,,,,,,,,,,1670081,,888471,,2558552,,,,,,,,,,,,,,,
Kyushu,198409,,,1140320,,,,,,,,,,4268544,,1850314,,6118858,,,,,,,,,,,,,,,
Okinawa,198409,,,,,,,,,,,,,324734,,94900,,419634,,,,,,,,,,,,,,,
Hokkaido,198403,,,488338,,,,,,,,,,1302946,,1063435,,2366381,,,,,,,,,,,,,,,
Tohoku,198403,,,1306597,,,,,,,,,,3915949,,2482424,,6398373,,,,,,,,,,,,,,,
Tokyo,198403,,,5938144,,,,,,,,,,11876377,,7994002,,19870379,,,,,,,,,,,,,,,
Chubu,198403,,,2257514,,,,,,,,,,6199105,,4444580,,10643685,,,,,,,,,,,,,,,
Hokuriku,198403,,,469116,,,,,,,,,,1479962,,956872,,2436834,,,,,,,,,,,,,,,
Kansai,198403,,,1657820,,,,,,,,,,6647758,,4728159,,11375917,,,,,,,,,,,,,,,
Chugoku,198403,,,538387,,,,,,,,,,2554918,,1652757,,4207675,,,,,,,,,,,,,,,
Shikoku,198403,,,336875,,,,,,,,,,1652249,,890264,,2542513,,,,,,,,,,,,,,,
Kyushu,198403,,,1114049,,,,,,,,,,4212351,,1835553,,6047904,,,,,,,,,,,,,,,
Okinawa,198403,,,,,,,,,,,,,313443,,94025,,407468,,,,,,,,,,,,,,,
Hokkaido,198309,,,473898,,,,,,,,,,1292641,,1065268,,2357909,,,,,,,,,,,,,,,
Tohoku,198309,,,1274247,,,,,,,,,,3882193,,2471649,,6353842,,,,,,,,,,,,,,,
Tokyo,198309,,,5813293,,,,,,,,,,11772233,,7920188,,19692421,,,,,,,,,,,,,,,
Chubu,198309,,,2200580,,,,,,,,,,6151613,,4380396,,10532009,,,,,,,,,,,,,,,
Hokuriku,198309,,,462127,,,,,,,,,,1468339,,950816,,2419155,,,,,,,,,,,,,,,
Kansai,198309,,,1624887,,,,,,,,,,6598543,,4712756,,11311299,,,,,,,,,,,,,,,
Chugoku,198309,,,529630,,,,,,,,,,2544364,,1645503,,4189867,,,,,,,,,,,,,,,
Shikoku,198309,,,328298,,,,,,,,,,1643871,,888467,,2532338,,,,,,,,,,,,,,,
Kyushu,198309,,,1088458,,,,,,,,,,4188582,,1826517,,6015099,,,,,,,,,,,,,,,
Okinawa,198309,,,,,,,,,,,,,312973,,89900,,402873,,,,,,,,,,,,,,,
