Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Kansai,197303,,11346,11346,63718,142167,71499,16578,,98307,88941,46123,162480,412429,38121,29896,76303,115204,191507,298892,649297,948189,,95342,95342,97663,82717,72115,252495,134321,2379684,2391030,,200181,458026,2849056
Chugoku,197303,13,15026,15039,14298,33218,30847,27025,,38261,104874,23036,40448,233644,22535,8719,29554,29048,58602,164786,196253,361039,,77221,77221,4021,116578,23072,143671,27009,1010803,1025842,,38534,100475,1126317
Shikoku,197303,,5725,5725,4836,22725,64363,,,53064,,16752,20225,90041,19925,2287,39505,,39505,,124501,124501,115848,,115848,1843,7308,10322,19473,15272,518776,524501,,3900,6145,530646
Kyushu,197303,45150,11254,56404,28208,24116,45035,14868,48064,47246,234,1458,60223,172093,3429,19882,166750,29477,196227,134442,133972,268414,11387,47549,58936,17866,23039,12368,53273,31094,900707,957111,,36981,76475,1033586
Okinawa,197303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197302,32750,11104,43854,11498,415,34812,,,16075,,,27974,44049,2154,969,18370,1122,19492,35442,59923,95365,,933,933,1368,2683,92,4143,11066,224896,268750,,14849,22441,291191
Tohoku,197302,6471,34892,41363,10983,16525,64915,38740,63828,32052,,2530,62615,199765,6731,7109,66907,21134,88041,22924,368052,390976,78882,122123,201005,26680,6049,13483,46212,30180,1062442,1103805,,26666,111092,1214897
Tokyo,197302,553,14697,15250,112736,24293,220419,75821,,96272,177516,22633,182981,555223,53509,54515,96503,114581,211084,293306,500338,793644,12601,223392,235993,203721,299393,104307,607421,221965,3090802,3106052,,240920,493486,3599538
Chubu,197302,,2531,2531,42330,227342,83709,38246,15057,34414,36750,55848,81247,261562,17634,29028,30311,107367,137678,138011,362540,500551,156971,41525,198496,49569,291631,60319,401519,83538,1983387,1985918,,50958,195865,2181783
Hokuriku,197302,,19077,19077,2113,83423,38886,14793,9719,13987,,10450,23886,72835,814,615,4553,35213,39766,,153775,153775,,58390,58390,2119,6948,24834,33901,27410,511928,531005,,3180,26786,557791
Kansai,197302,,10340,10340,56800,128812,64733,15215,,87205,83733,41803,147345,375301,35008,27031,62222,104438,166660,261312,589482,850794,,86899,86899,88380,76907,67388,232675,123127,2147840,2158180,,179589,411282,2569462
Chugoku,197302,278,13331,13609,11925,29923,27060,21019,,34000,99088,20657,35734,210498,19281,8012,21972,26971,48943,146650,172203,318853,,69568,69568,3653,106649,21281,131583,24782,900428,914037,,35475,91780,1005817
Shikoku,197302,,5057,5057,4522,20366,55437,,,52444,,14718,18393,85555,18862,2116,36165,,36165,,110202,110202,103713,,103713,1786,6483,8824,17093,14109,468140,473197,,3916,5971,479168
Kyushu,197302,41568,10090,51658,24809,21763,35303,13720,36019,43701,225,1441,56447,151553,3197,17594,148125,27098,175223,122012,117283,239295,2185,43065,45250,16642,22070,11286,49998,28529,792514,844172,,34395,71265,915437
Okinawa,197302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197301,33796,11585,45381,12163,405,35617,,,16922,,,29609,46531,2274,913,16674,845,17519,42726,52174,94900,,1064,1064,1367,2511,81,3959,10251,225596,270977,,15643,23986,294963
Tohoku,197301,4176,36959,41135,10828,16269,67312,43197,79619,37638,,2600,66892,229946,7116,6671,63469,20750,84219,24535,393008,417543,87430,130395,217825,26908,5748,13351,46007,29935,1133671,1174806,,27833,120756,1295562
Tokyo,197301,1478,15147,16625,109373,23250,219198,86405,,109127,190304,24489,180415,590740,57867,53213,89375,116523,205898,339629,500738,840367,14663,226655,241318,195846,282408,100322,578576,209154,3128954,3145579,,256044,545731,3691310
Chubu,197301,,2328,2328,40745,211516,83295,35865,13649,36046,42568,58852,80182,267162,22753,27239,34175,111127,145302,148439,363757,512196,171433,39547,210980,48029,271322,57618,376969,79886,1978043,1980371,,53140,218167,2198538
Hokuriku,197301,,18313,18313,1931,80553,40473,10827,25885,15662,,11797,17495,81666,869,583,2125,41340,43465,,182666,182666,,65174,65174,2223,6891,23194,32308,26441,556129,574442,,3207,28473,602915
Kansai,197301,,10626,10626,53767,117646,64149,16574,,95581,91361,45476,139804,388796,36695,25467,57881,104587,162468,264869,566319,831188,,82981,82981,84673,71688,61809,218170,112239,2093566,2104192,,189847,450731,2554923
Chugoku,197301,566,13790,14356,11331,27888,26468,25465,,37922,108549,22440,35337,229713,21095,7758,28093,26769,54862,171643,175115,346758,,74041,74041,3485,101305,19605,124395,23992,948301,962657,,36901,99832,1062489
Shikoku,197301,,4761,4761,4009,18742,57926,,,55989,,15661,17683,89333,19327,2044,27538,,27538,,108688,108688,115574,,115574,1681,5906,7851,15438,12764,471383,476144,,4082,6364,482508
Kyushu,197301,45164,9977,55141,24180,21200,35389,14463,42430,44353,180,1414,58480,161320,2850,16602,141695,28215,169910,143617,110146,253763,14743,47271,62014,16677,20777,11194,48648,28536,824412,879553,,36268,78036,957589
Okinawa,197301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,197212,35308,11548,46856,12647,444,37965,,,16832,,,28801,45633,2270,982,15921,1165,17086,39472,57764,97236,,1056,1056,1374,2989,94,4457,11168,230944,277800,,15485,23679,301479
Tohoku,197212,4267,37557,41824,11583,17000,68211,43033,86677,35600,,2923,69156,237389,7250,7131,80886,21321,102207,27297,402433,429730,97467,127665,225132,25487,6039,13072,44598,30210,1180441,1222265,,25778,120863,1343128
Tokyo,197212,1855,15953,17808,121130,25248,230788,81599,,106200,185072,24791,189847,587509,63139,54927,116357,121255,237612,320296,526144,846440,13969,225811,239780,208029,299324,105813,613166,222405,3242144,3259952,,256611,549737,3809689
Chubu,197212,,2560,2560,45921,239453,89109,39014,13178,36216,39006,64623,79205,271242,26483,29145,38167,106574,144741,132676,373470,506146,170651,41740,212391,48785,284702,60330,393817,84607,2043055,2045615,,53578,210993,2256608
Hokuriku,197212,,17440,17440,2368,86211,40341,14153,32136,16225,,11633,23190,97337,873,640,3579,47531,51110,,210844,210844,,69990,69990,2168,6826,24811,33805,26846,620365,637805,,3189,29361,667166
Kansai,197212,,11980,11980,62826,133625,69808,15235,,91603,86963,45364,153673,392838,37626,27689,73878,109568,183446,260430,601534,861964,,88352,88352,90802,77629,65923,234354,125798,2218326,2230306,,198342,459074,2689380
Chugoku,197212,527,14226,14753,12469,32206,28265,27976,,37497,105883,22306,37602,231264,23723,8044,28306,27478,55784,180600,191228,371828,,76395,76395,3790,106849,20709,131348,26349,997675,1012428,,39834,104742,1117170
Shikoku,197212,,4956,4956,4681,21659,50882,,,55087,,16269,19039,90395,21354,2187,41676,,41676,,116793,116793,116913,,116913,1915,6498,8678,17091,14225,497856,502812,,4098,6359,509171
